Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Advance PST - Capital Stable Portfolio,,,,862500,1616666.5,1427500,2115000,1954545.091,,,,,,,,,,,,,
Advance PST - Managed Portfolio,,,,21307500,29810833.25,35919999.83,39915833,24991666.75,18224166.5,15473636.45,285326000.3,408827500.1,509416666.6,600020000,,,,,,,
Advance PST - Money Market 1,,,,34075000,28718333.33,21259999.67,17465833.42,5450000,,,,,,,,,,,,,
Advance PST - Money Market 2,,,,34075000,28718333.33,21259999.67,17465833.42,5450000,,,,,,,,,,,,,
Advance PST - Property Securities,,,,,,762499.5,1511666.75,2288181.636,,,,,,,,,,,,,
Advance PST Australian Shares,,,,,,982999.5,6653332.5,36832499.5,53788332.33,68149165.58,78969999.17,123583332.8,108497499.7,191439999.4,227331999.3,177711012.7,163676108.2,179889756.4,155815230.6,136933172.7,165376487.4
Advance PST International Shares,,,,,,1276999,7809165.833,6954165.833,8766666.083,14460908.45,10720832.83,9089999.5,8684166.167,8357272.091,6948999.5,4573655,2962311.167,2761818.083,2214743.917,1838352.5,2283097.417
Advance Ret Defensive Multi-Blend NEF,,2439999.667,9891666.75,15230833.42,32391666.58,100570000.1,94938333.5,82890833.33,74524166.58,67791666.25,117539000,133779166.9,152535833.5,167485000,,,,,,,
Advance Ret Plan Advance Aus Share Fd NE,,,,,265000,2315833.417,5785000.167,9545833.5,20348333.25,36663636.27,289379000,498455833.4,544180833.3,507765000.3,,,,,,,
Advance Ret Plan Advance Aust Share Fd,,,,,265000,2315833.417,5785000.167,9545833.5,20348333.25,36663636.27,289379000,498455833.4,544180833.3,507765000.3,,,,,,,
Advance Ret Plan Advance Money Market Fd,991666.8333,3170833.25,6813333.25,13185000.17,33936666.83,99300000.17,153110833.4,41103333.58,33491666.83,32602727.09,67270000,57710000.08,40793333.5,36619999.25,,,,,,,
Advance Ret Plan Aust Geared Equity,,,,,,,,,,776666,8786665.25,24546665.42,39994998.67,55212725.82,77826998.6,52366486.64,49029636.25,46404153.75,33381486.17,24118553.25,29468899.42
Advance Ret Plan Balanced Multi-Blend Fd,200001,2152500,6476666.667,21193333.5,58450000.17,160525833.1,170557499.8,168354166.4,177854166.5,177536666.7,331579000.2,408827500.1,509416666.6,604915000,,,,,,,
Advance Ret Plan Balanced Multi-Blend NE,200001,2152500,6476666.667,21193333.5,58450000.17,160525833.1,170557499.8,168354166.4,177854166.5,177536666.7,331579000.2,408827500.1,509416666.6,604915000,,,,,,,
Advance Ret Plan Capital Stable A,620265833.3,542284166.8,432300000.5,322227500,192035000.1,142799999.9,130933636.5,31410000,28534166.5,23349090.91,19783000,18015000.08,16619166.83,12740000.33,,,,,,,
Advance Ret Plan Cash A,991666.8333,3170833.25,6813333.25,13185000.17,33936666.83,99300000.17,153110833.4,41103333.58,33491666.83,32602727.09,67270000,57710000.08,40793333.5,36619999.25,,,,,,,
Advance Ret Plan Defensive Multi-Blend,,2439999.667,9891666.75,15230833.42,32391666.58,100570000.1,94938333.5,82890833.33,74524166.58,67791666.25,117539000,133779166.9,152535833.5,167485000,,,,,,,
Advance Ret Plan Growth Multi-Blend,3954999.667,9969999.75,13820833.33,13108333.33,14453099.33,17846971.58,17722248.25,23551170.75,13948599.83,12508151.58,16112760.67,17083506.75,55253093.58,94788954.92,1072600601,1045072511,1384853891,2340831272,2491837316,2392895206,3188994565
Advance Ret Plan Int Shares Multi Blend,,,,,105000,1250000.083,4304999.833,6549166.583,9492499.75,10504166.75,91959999.8,148923333.4,413174166.8,963752500,,,,,,,
Advance Ret Plan Int Shrs Multi Blend NE,,,,,105000,1250000.083,4304999.833,6549166.583,9492499.75,10504166.75,91959999.8,148923333.4,413174166.8,963752500,,,,,,,
Advance Ret Plan Managed Growth A,416019166.7,601132499.8,644222499.9,446090000.1,227406666.8,182403333.3,190222727.2,67620000,60503333.42,48739091.18,39528000.1,38623333.42,38101666.67,33149999.5,,,,,,,
Advance Ret Plan Moderate Multi-Blend,,,,,,,,,,,,8642499.75,52472499.92,134203636.1,297289165.3,307396475.4,394870887.5,613260340.3,655253069.1,777425804.5,1196600902
Advance Super & RO - Property Secs NEF,,,,,40000,709166.6667,1218333.167,1102727.364,,,,,,,,,,,,,
Advance Super & RO - Property Securities,,,,,40000,709166.6667,1218333.167,1102727.364,,,,,,,,,,,,,
Advance Super Plus - Bank Deposit Portf,991666.8333,3170833.25,6813333.25,13185000.17,33936666.83,99300000.17,153110833.4,41103333.58,33491666.83,32602727.09,67270000,57710000.08,40793333.5,36619999.25,,,,,,,
Advance Super Plus - Managed Portfolio,,,,,,,16915000.25,18611666.67,18028333.08,17039091,286263000.3,408827500.1,332204166.6,9449999.667,,,,,,,
AFT Dual Choice ADF - Performance Fund,,,,,,,,,,,,,,,,,,,,,
AFT Dual Choice ADF - Security Fund,,,,,,,,,,,,,,,,,,,,,
AGEST Super-Australian Shares Fund,,,,,,,,,,,,,,,181942855.9,158883332.1,269362498.9,384916665.6,374432518.7,311402726,
AGEST Super-Balanced Fund,,,,,,,,,,,,,,,2101357142,2021049999,1883724999,2201474999,2398185152,2366137817,
AGEST Super-Cash Fund,,,,,,,,,99998,1899999,13199999,28900000,37499999,43500000,108199998.6,390541665.3,697324998.8,576024998.8,696786932.8,828593726.3,
AGEST Super-Conservative Fund,,,,,,,,,,,,,,,19214284.71,43566665.5,48699999,60608332.25,78068185.17,120693726.4,
AGEST Super-Fixed Interest Fund,,,,,,,,,,,,,,,21914284.71,53316665.58,74087499.13,208949999.2,303107999.9,630211635.5,
AGEST Super-Growth Fund,,,,,,,,,,,,,,,96499999,99283332.08,118462499,165549998.8,180625992.8,165456181,
AGEST Super-Intl Shares (Hedged) Fund,,,,,,,,,,,,,,,22657141.43,16474998.83,19362498.88,30333332.58,45774806.33,36078453.64,
AGEST Super-Intl Shares (Unhedged) Fund,,,,,,,,,,,,,,,12185713.57,10608332.33,10249999,13433332.25,19100969.5,20054362.91,
AGEST Super-Listed Property Fund,,,,,,,,,,,,,,,57385713,28458332.08,30387498.5,78358332.08,104370463.4,91419362.82,
AGEST Super-Moderate Fund,,,,,,,,,,,,,,,24657141.86,27224998.58,34699998.88,56858332.08,65483018.33,60458544.36,
AGEST Super-MultiStrategy Fund,,,,,,,,,,,,,,,7871427.571,33358332.33,23274999,25708332.25,33036805.17,53748089.82,
AGEST Super-Stable Fund,,,,,,,,,,,,,,,30057141.29,43649998.83,46087498.75,60758332.25,79575081.92,97109635.73,
AIMS Rollover - Aust Fixed Interest Fund,,,,,,,,,,,,,,,,,,,,,
AIMS Rollover - Australian Shares Fund,,,,,,,,,,,,,,,,,,,,,
AIMS Rollover - Capital Stable Fund,,,,,,,,,,,,,,,,,,,,,
AIMS Rollover - Cash Management Fund,,,,,,,,,,,,,,,,,,,,,
AIMS Rollover - General Performance Fund,,,,,,,,,,,,,,,,,,,,,
AIMS Rollover - International Shares,,,,,,,,,,,,,,,,,,,,,
AIMS Rollover - Listed Prop Securities,,,,,,,,,,,,,,,,,,,,,
AJ - Balanced Super Trust,15100000,26400001,54824286,66280833.33,35647999.7,4238000,,,,,,,,,,,,,,,
AJ - Property ADF,18853957.18,17758333.33,17727499.67,15773333.25,14217777.44,13242500.13,,,,,,,,,,,,,,,
AJ - Super Capital Stable Trust,,,,,,,,,,,,,,,,,,,,,
AJ Deferred Annuity - Security Fund,,,,,,,,,,,,,,,,,,,,,
AJ Guaranteed Share Investment - Rollove,1361818,1400000,,,,,,,,,,,,,,,,,,,
AJ Personal Super - Balanced Fund,5516359.556,8699278.273,10801894.5,12845833.42,13283333,,,,,,,,,,,,,,,,
AJ Personal Super - Capital Gtd NEF,166623236,145555000.4,145540000.2,158191666.7,153190000,,,,,,,,,,,,,,,,
AJ Personal Super - Capital Guaranteed,166623236,145555000.4,145540000.2,158191666.7,153190000,,,,,,,,,,,,,,,,
AJ Personal Super - Sharemarket Fund,2210723.333,3233704.182,4024405,5336666.833,5706666,,,,,,,,,,,,,,,,
AJ Rollover - Balanced,5516359.556,8699278.273,10801894.5,12845833.42,13283333,,,,,,,,,,,,,,,,
AJ Rollover - Capital Gtd NEF,166623236,145555000.4,145540000.2,158191666.7,153190000,,,,,,,,,,,,,,,,
AJ Rollover - Capital Guaranteed,166623236,145555000.4,145540000.2,158191666.7,153190000,,,,,,,,,,,,,,,,
AJ Rollover - Sharemarket Fund,2697389.889,3233704.182,4024405,5336666.833,5706666,,,,,,,,,,,,,,,,
AJ Trustees Super Bond - Balanced,5516359.556,8699278.273,10982222.11,12845833.42,13283333,,,,,,,,,,,,,,,,
AJ Trustees Super Bond - Capital Gt'eed,166623236,145555000.4,145540000.2,158191666.7,153190000,,,,,,,,,,,,,,,,
AJ Trustees Super Bond - Sharemarket,2210723.333,3235522.364,4084999.75,5336666.833,5706666,,,,,,,,,,,,,,,,
AM ADF - Australian Equities Fund,,,,,,,,,,,,,,,,,,,,,
AM ADF - Australian Fixed Interest Fund,,,,,,,,,,,,,,,,,,,,,
AM ADF - Australian Liquids Fund,13292999.8,37606000.1,40140000,,,,,,,,,,,,,,,,,,
AM ADF - Balanced Growth Fund,13292999.8,37606000.1,40140000,,,,,,,,,,,,,,,,,,
AM ADF - Capital Safe Fund,,,,,,,,,,,,,,,,,,,,,
AM ADF - Capital Stable Fund,13292999.8,37606000.1,40140000,,,,,,,,,,,,,,,,,,
AM Trustees Pooled Super - Traded Polici,,,,,,,,,,,,,,,,,,,,,
AM Trustees PoolSup - Aust Fix Int TE,,,,,,,,,,,,304722000.2,370479999.8,,,,,,,,
AM Trustees PoolSup - Aust Fixed Int,,,,,,,,,,,,304722000.2,370479999.8,,,,,,,,
AM Trustees PoolSup - Int'l T Pol Hdg,,,,,,,,,,,,,,,,,,,,,
AM Trustees PoolSup - Intl T Pol Hdg TE,,,,,,,,,,,,,,,,,,,,,
AM Trustees PoolSup - Int'l T Pol Unh,,,,,,,,,,,,,,,,,,,,,
AM Trustees PoolSup - Intl T Pol Unh TE,,,,,,,,,,,,,,,,,,,,,
AM Trustees PoolSup - T Pol 111,,,,,,,,,,,,,,,,,,,,,
AM Trustees PoolSup - Trade Pol 111 TE,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Per Sup-Sharemarket,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Persnal Sup-Cash,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Persnal Sup-Managed,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Persnal Sup-Property,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator RODA Bond-Cash,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator RODA Bond-Managed,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator RODA Bond-Property,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator RODA Bond-Sharemarket,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Super Bnd-Cash,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Super Bnd-Managed,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Super Bnd-Property,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Super Bond-Sharemarket,,,,,,,,,,,,,,,,,,,,,
AMP - Corporate Super - Cash Share,991666,899999.25,41499999.44,,326665.6667,331999.2,349166.3333,339998.9167,328332.5,325832.9167,204999.3333,131666,190908.2727,254544.7273,295252.1667,308368.25,314834.75,322853.5833,327345.6667,306042.5833,294854.1667
AMP - Corporate Super - Fixed Interest,124249999.3,533332.5833,388588888.4,,343332.6667,262999.3,1419998.333,2219996.25,1962495.583,1654997.583,1724162,1387495.25,1285450.727,1197269,1039254.5,1250278.583,2391063.333,2279124.5,2219225.25,2126031.917,1847763.75
AMP - Corporate Super - Guaranteed Plus,23389999.4,15833332.67,136311110.7,,11140000,10156999.3,8596665.667,6994999.25,5827498.833,5257498.833,5000832.667,4387499.25,4017272.273,3629090.182,3361442.75,2799490.75,2380098.5,2085182.25,1949884.75,1875583.75,1857421.5
AMP - Corporate Super - International,1008332.667,1041666.083,149122221.4,,219999.6667,249999.5,269999.6667,296665.8333,262498.9167,192499.75,140832.75,149166.1667,157272.1818,173635.7273,176596.8333,118527.3333,77609.91667,76820.25,72591.91667,72400.25,64546.16667
AMP - Corporate Super - Managed,10683332.67,10099999.42,437577777.3,,9399999,9197999.1,9199166.25,8673332.417,7655832.5,6448332.417,5473332.5,4984999.167,4792726.455,5024545,5027100.25,4087524.583,3444098,3160680.667,2930455.5,2807206.833,3010694.25
AMP - Corporate Super - Property,1333332.583,1041666.083,116911110.4,,623332.3333,600999.4,585832.6667,519165.6667,424999.1667,336666.25,303332.75,295832.5833,293635.6364,296363.0909,313830.6667,233173.5,177880,177269.6667,180250,199762.25,173564.75
AMP - Corporate Super - Secure Growth,2033332.583,1408332.667,33911110.56,,799999,734999.7,713332.75,674166,644999.1667,585832.5,496665.8333,459165.8333,374544.9091,397272,434978.9167,397342,319918.1667,325426.8333,329982.25,303112.5,328568.75
AMP - Corporate Super - Shares,254599999.6,1433332.417,846166666.7,,1036666,1005999,3816664.75,9364995.333,10366662,8736662.917,8327494.583,9545828.083,11037267.91,12577268.45,13962403.75,10818110,9190818.75,10247846.25,9010355.833,8235930,8627343.917
AMP - FG - Cash Share,733331.8333,824998.8333,1045832.333,4960831.667,9584542.909,11712997,16121663.75,54236661.42,134447493.8,22130826.92,24383328.17,23150828.17,22140904.55,21173632.09,19673069.83,19137752,14372273.25,12377538.33,12661317.83,12562280.5,10286115.92
AMP - FG - Cash Share (Mature),733331.8333,824998.8333,1045832.333,4960831.667,9584542.909,11712997,16121663.75,54236661.42,134447493.8,22130826.92,24383328.17,23150828.17,22140904.55,21173632.09,19673069.83,19137752,14372273.25,12377538.33,12661317.83,12562280.5,10286115.92
AMP - FG - Managed,720542496.7,620413329.3,295239995.6,297082495.8,332999995.2,318089995.3,362252493.5,457339991.6,335780823.4,262197491,226438325.6,221214159.3,223458175.7,230497266.5,229192409.8,184819474,157559234.9,160235937.8,149248762.1,139942779.1,145391534.7
AMP - FG - Managed (Mature),720542496.7,620413329.3,295239995.6,297082495.8,332999995.2,318089995.3,362252493.5,457339991.6,335780823.4,262197491,226438325.6,221214159.3,223458175.7,230497266.5,229192409.8,184819474,157559234.9,160235937.8,149248762.1,139942779.1,145391534.7
AMP - FG - Managed NEF,720542496.7,620413329.3,295239995.6,297082495.8,332999995.2,318089995.3,362252493.5,457339991.6,335780823.4,262197491,226438325.6,221214159.3,223458175.7,230497266.5,229192409.8,184819474,157559234.9,160235937.8,149248762.1,139942779.1,145391534.7
AMP - FG - Matched,84518331.92,110057498.8,100109998.6,90366665,104485830.6,98745830.67,106806663.4,144054162.1,93837493.58,72514994.83,64854162.25,63041662.83,62665450.73,63710905.27,61708062.83,50654920.08,43538881.5,43145652,40259054.58,37742297.58,37579594.17
AMP - FG - Matched (Mature),84518331.92,110057498.8,100109998.6,90366665,104485830.6,98745830.67,106806663.4,144054162.1,93837493.58,72514994.83,64854162.25,63041662.83,62665450.73,63710905.27,61708062.83,50654920.08,43538881.5,43145652,40259054.58,37742297.58,37579594.17
AMP - FG - Matched NEF,84518331.92,110057498.8,100109998.6,90366665,104485830.6,98745830.67,106806663.4,144054162.1,93837493.58,72514994.83,64854162.25,63041662.83,62665450.73,63710905.27,61708062.83,50654920.08,43538881.5,43145652,40259054.58,37742297.58,37579594.17
AMP - FG - Multi-Manager Bal (Mature),,,,89423328.67,107037267.6,115097994,168476660.2,261433321.8,218919152.3,175948320.4,154382488.8,158820822.2,164030898.9,169099082.4,170037722.8,135338278.6,122654620.3,126641872,118753286.1,110808602.7,117458688.3
AMP - FG - Multi-Manager Balanced,,,,89423328.67,107037267.6,115097994,168476660.2,261433321.8,218919152.3,175948320.4,154382488.8,158820822.2,164030898.9,169099082.4,170037722.8,135338278.6,122654620.3,126641872,118753286.1,110808602.7,117458688.3
AMP - FG - Multi-Manager Balanced NEF,,,,89423328.67,107037267.6,115097994,168476660.2,261433321.8,218919152.3,175948320.4,154382488.8,158820822.2,164030898.9,169099082.4,170037722.8,135338278.6,122654620.3,126641872,118753286.1,110808602.7,117458688.3
AMP - FG - Multi-Manager Secure,,,,15171664.33,18177269.45,26627995.6,48149161.67,65899991.17,59330822.08,47214156,42975824.42,39502491.08,36776355.82,33759992.91,30553535.58,24650277.83,20449160.75,20261797.67,18761867.67,18180821.08,17645430
AMP - FG - Multi-Manager Secure (Mature),,,,15171664.33,18177269.45,26627995.6,48149161.67,65899991.17,59330822.08,47214156,42975824.42,39502491.08,36776355.82,33759992.91,30553535.58,24650277.83,20449160.75,20261797.67,18761867.67,18180821.08,17645430
AMP - FG - Multi-Manager Secure NEF,,,,15171664.33,18177269.45,26627995.6,48149161.67,65899991.17,59330822.08,47214156,42975824.42,39502491.08,36776355.82,33759992.91,30553535.58,24650277.83,20449160.75,20261797.67,18761867.67,18180821.08,17645430
AMP - FG - Property Biased,7134165.167,11113332.17,16027498.58,18993331.42,20913633.55,17457997.2,22815831.08,36923328.83,25602494.42,20645828.58,18712495.08,18225829.33,17897268.64,17890905.18,17505199.17,14248737.25,11396781.25,11068630.08,10042837.25,9474561.917,9342184.417
AMP - FG - Property Biased (Mature),7134165.167,11113332.17,16027498.58,18993331.42,20913633.55,17457997.2,22815831.08,36923328.83,25602494.42,20645828.58,18712495.08,18225829.33,17897268.64,17890905.18,17505199.17,14248737.25,11396781.25,11068630.08,10042837.25,9474561.917,9342184.417
AMP - FG - Property Biased NEF,7134165.167,11113332.17,16027498.58,18993331.42,20913633.55,17457997.2,22815831.08,36923328.83,25602494.42,20645828.58,18712495.08,18225829.33,17897268.64,17890905.18,17505199.17,14248737.25,11396781.25,11068630.08,10042837.25,9474561.917,9342184.417
AMP - FG - Secure,102860831.8,142055831.8,128881665.1,120363331.6,94207269.82,64758997,107774163.9,173840829.1,111140827.3,81911660.83,70042495.33,65057495.83,62500905.64,58874541.55,54795474.83,45927102.58,41356416.75,40695489,38880232.67,37179022.75,35099439
AMP - FG - Secure (Mature),102860831.8,142055831.8,128881665.1,120363331.6,94207269.82,64758997,107774163.9,173840829.1,111140827.3,81911660.83,70042495.33,65057495.83,62500905.64,58874541.55,54795474.83,45927102.58,41356416.75,40695489,38880232.67,37179022.75,35099439
AMP - FG - Secure NEF,102860831.8,142055831.8,128881665.1,120363331.6,94207269.82,64758997,107774163.9,173840829.1,111140827.3,81911660.83,70042495.33,65057495.83,62500905.64,58874541.55,54795474.83,45927102.58,41356416.75,40695489,38880232.67,37179022.75,35099439
AMP - Personal Super Bond - Managed,720542496.7,620413329.3,295239995.6,297082495.8,332999995.2,318089995.3,362252493.5,457339991.6,335780823.4,262197491,226438325.6,221214159.3,223458175.7,230497266.5,229192409.8,184819474,157559234.9,160235937.8,149248762.1,139942779.1,145391534.7
AMP - RB - Australian Equities,254599999.6,1433332.417,846166666.7,,1036666,1005999,3816664.75,9364995.333,10366662,8736662.917,8327494.583,9545828.083,11037267.91,12577268.45,13962403.75,10818110,9190818.75,10247846.25,9010355.833,8235930,8627343.917
AMP - RB - Australian Equities (Mature),254599999.6,1433332.417,846166666.7,,1036666,1005999,3816664.75,9364995.333,10366662,8736662.917,8327494.583,9545828.083,11037267.91,12577268.45,13962403.75,10818110,9190818.75,10247846.25,9010355.833,8235930,8627343.917
AMP - RB - Australian Equities NEF,254599999.6,1433332.417,846166666.7,,1036666,1005999,3816664.75,9364995.333,10366662,8736662.917,8327494.583,9545828.083,11037267.91,12577268.45,13962403.75,10818110,9190818.75,10247846.25,9010355.833,8235930,8627343.917
AMP - RB - Australian Fixed Interest,124249999.3,533332.5833,388588888.4,,343332.6667,262999.3,1419998.333,2219996.25,1962495.583,1654997.583,1724162,1387495.25,1285450.727,1197269,1039254.5,1250278.583,2391063.333,2279124.5,2219225.25,2126031.917,1847763.75
AMP - RB - Australian Fixed Interest (M),124249999.3,533332.5833,388588888.4,,343332.6667,262999.3,1419998.333,2219996.25,1962495.583,1654997.583,1724162,1387495.25,1285450.727,1197269,1039254.5,1250278.583,2391063.333,2279124.5,2219225.25,2126031.917,1847763.75
AMP - RB - Australian Fixed Interest NEF,124249999.3,533332.5833,388588888.4,,343332.6667,262999.3,1419998.333,2219996.25,1962495.583,1654997.583,1724162,1387495.25,1285450.727,1197269,1039254.5,1250278.583,2391063.333,2279124.5,2219225.25,2126031.917,1847763.75
AMP - RB - Cash Share,733331.8333,824998.8333,1045832.333,4960831.667,9584542.909,11712997,16121663.75,54236661.42,134447493.8,22130826.92,24383328.17,23150828.17,22140904.55,21173632.09,19673069.83,19137752,14372273.25,12377538.33,12661317.83,12562280.5,10286115.92
AMP - RB - Cash Share (Mature),733331.8333,824998.8333,1045832.333,4960831.667,9584542.909,11712997,16121663.75,54236661.42,134447493.8,22130826.92,24383328.17,23150828.17,22140904.55,21173632.09,19673069.83,19137752,14372273.25,12377538.33,12661317.83,12562280.5,10286115.92
AMP - RB - Cash Share NEF,733331.8333,824998.8333,1045832.333,4960831.667,9584542.909,11712997,16121663.75,54236661.42,134447493.8,22130826.92,24383328.17,23150828.17,22140904.55,21173632.09,19673069.83,19137752,14372273.25,12377538.33,12661317.83,12562280.5,10286115.92
AMP - RB - Listed Property Sec (Mature),,,,,,,648569.4286,734164.75,759998.4167,1429164.667,2084997.5,2206664.417,2258179.727,2519998.182,3056882.75,1753056.75,811863.5833,762596.8333,721001.5833,638077.4167,598584.4167
AMP - RB - Listed Property Secs NEF,,,,,,,648569.4286,734164.75,759998.4167,1429164.667,2084997.5,2206664.417,2258179.727,2519998.182,3056882.75,1753056.75,811863.5833,762596.8333,721001.5833,638077.4167,598584.4167
AMP - RB - Listed Property Securities,,,,,,,648569.4286,734164.75,759998.4167,1429164.667,2084997.5,2206664.417,2258179.727,2519998.182,3056882.75,1753056.75,811863.5833,762596.8333,721001.5833,638077.4167,598584.4167
AMP - RB - Managed,720542496.7,620413329.3,295239995.6,297082495.8,332999995.2,318089995.3,362252493.5,457339991.6,335780823.4,262197491,226438325.6,221214159.3,223458175.7,230497266.5,229192409.8,184819474,157559234.9,160235937.8,149248762.1,139942779.1,145391534.7
AMP - RB - Managed (Mature),720542496.7,620413329.3,295239995.6,297082495.8,332999995.2,318089995.3,362252493.5,457339991.6,335780823.4,262197491,226438325.6,221214159.3,223458175.7,230497266.5,229192409.8,184819474,157559234.9,160235937.8,149248762.1,139942779.1,145391534.7
AMP - RB - Managed NEF,720542496.7,620413329.3,295239995.6,297082495.8,332999995.2,318089995.3,362252493.5,457339991.6,335780823.4,262197491,226438325.6,221214159.3,223458175.7,230497266.5,229192409.8,184819474,157559234.9,160235937.8,149248762.1,139942779.1,145391534.7
AMP - RB - Matched,84518331.92,110057498.8,100109998.6,90366665,104485830.6,98745830.67,106806663.4,144054162.1,93837493.58,72514994.83,64854162.25,63041662.83,62665450.73,63710905.27,61708062.83,50654920.08,43538881.5,43145652,40259054.58,37742297.58,37579594.17
AMP - RB - Matched (Mature),84518331.92,110057498.8,100109998.6,90366665,104485830.6,98745830.67,106806663.4,144054162.1,93837493.58,72514994.83,64854162.25,63041662.83,62665450.73,63710905.27,61708062.83,50654920.08,43538881.5,43145652,40259054.58,37742297.58,37579594.17
AMP - RB - Matched NEF,84518331.92,110057498.8,100109998.6,90366665,104485830.6,98745830.67,106806663.4,144054162.1,93837493.58,72514994.83,64854162.25,63041662.83,62665450.73,63710905.27,61708062.83,50654920.08,43538881.5,43145652,40259054.58,37742297.58,37579594.17
AMP - RB - Multi-Manager Bal (Mature),,,,89423328.67,107037267.6,115097994,168476660.2,261433321.8,218919152.3,175948320.4,154382488.8,158820822.2,164030898.9,169099082.4,170037722.8,135338278.6,122654620.3,126641872,118753286.1,110808602.7,117458688.3
AMP - RB - Multi-Manager Balanced,,,,89423328.67,107037267.6,115097994,168476660.2,261433321.8,218919152.3,175948320.4,154382488.8,158820822.2,164030898.9,169099082.4,170037722.8,135338278.6,122654620.3,126641872,118753286.1,110808602.7,117458688.3
AMP - RB - Multi-Manager Balanced NEF,,,,89423328.67,107037267.6,115097994,168476660.2,261433321.8,218919152.3,175948320.4,154382488.8,158820822.2,164030898.9,169099082.4,170037722.8,135338278.6,122654620.3,126641872,118753286.1,110808602.7,117458688.3
AMP - RB - Multi-Manager Growth,,,,,,,,,,,,9999.5,25453.54545,97272,250922.6667,423475.6667,423145.3333,520870.5833,366897.5833,371419.6667,426311.25
AMP - RB - Multi-Manager High Growth,,,,,,,,,,,,0,25554.77778,52726.54545,116241,77678.25,67880.41667,78158.41667,107298,108447.25,128538.5
AMP - RB - Multi-Manager Intl Equities,,,,,,,,,,,,18749.25,19999.63636,28181,28190.91667,15451.41667,11015.16667,11006.83333,11197.4,7641.222222,9049.833333
AMP - RB - Multi-Manager Secure,,,,15171664.33,18177269.45,26627995.6,48149161.67,65899991.17,59330822.08,47214156,42975824.42,39502491.08,36776355.82,33759992.91,30553535.58,24650277.83,20449160.75,20261797.67,18761867.67,18180821.08,17645430
AMP - RB - Multi-Manager Secure (Mature),,,,15171664.33,18177269.45,26627995.6,48149161.67,65899991.17,59330822.08,47214156,42975824.42,39502491.08,36776355.82,33759992.91,30553535.58,24650277.83,20449160.75,20261797.67,18761867.67,18180821.08,17645430
AMP - RB - Multi-Manager Secure NEF,,,,15171664.33,18177269.45,26627995.6,48149161.67,65899991.17,59330822.08,47214156,42975824.42,39502491.08,36776355.82,33759992.91,30553535.58,24650277.83,20449160.75,20261797.67,18761867.67,18180821.08,17645430
