Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Advance PST Australian Shares,,,,,,983000,6653333.33,36832500,53788333.33,68149166.67,78970000,123583333.3,108497500,191440000,227332000,177711013.3,163676108.8,179889757,155815231.1,136933173.2,165376488.1
Advance PST International Shares,,,,,,1277000,7809166.67,6954166.67,8766666.67,14460909.09,10720833.33,9090000,8684166.67,8357272.73,6949000,4573655.45,2962311.67,2761818.67,2214744.42,1838352.92,2283097.75
Advance Ret Defensive Multi-Blend NEF,,156666.67,1470833.33,8909166.67,20463333.33,32620000,36560833.33,21989166.67,14819166.67,11875454.55,10395000,10156666.67,9543333.33,8867500,,,,,,,
Advance Ret Plan Advance Aus Share Fd NE,,,,,270000,1407500,3635000,4683333.33,5300000,6343636.36,7474166.67,8776666.67,9945833.33,10555000,,,,,,,
Advance Ret Plan Advance Aust Share Fd,,,,,265000,2315833.33,5785000,9545833.33,20348333.33,36663636.36,46990000,59990000,70235833.33,76725000,,,,,,,
Advance Ret Plan Advance Money Market Fd,520000,970000,6358333.33,13185000,34005833.33,65503333.33,53580833.33,41103333.33,33491666.67,32602727.27,37516666.67,36800000,32890000,29380000,,,,,,,
Advance Ret Plan Aust Geared Equity,,,,,,,,,,,,,65000,390000,,,,,,,
Advance Ret Plan Balanced Multi-Blend Fd,390833.33,1540000,6476666.67,21193333.33,57288333.33,160525833.3,170557500,168354166.7,177854166.7,177536666.7,169227500,185534166.7,195691666.7,220167500,,,,,,,
Advance Ret Plan Balanced Multi-Blend NE,,465000,2607500,16225000,42584166.67,72532500,81735000,64778333.33,56245833.33,48477272.73,39560000,38975000,39297500,38865000,,,,,,,
Advance Ret Plan Capital Stable A,180343333.3,176315833.3,138015833.3,115108333.3,87258333.33,66948333.33,54092727.27,37299166.67,28534166.67,23349090.91,19860833.33,18015000,16619166.67,12740000,,,,,,,
Advance Ret Plan Cash A,6048333.33,6025833.33,5427500,6576666.67,5764166.67,4232500,3279090.91,2323333.33,1744166.67,1389090.91,1284166.67,1014166.67,835000,765000,,,,,,,
Advance Ret Plan Defensive Multi-Blend,1375833.33,1868333.33,9891666.67,13962500,25770000,100570000,94938333.33,82890833.33,74524166.67,67851666.67,68241666.67,69186666.67,66832500,66887500,,,,,,,
Advance Ret Plan Growth Multi-Blend,,,,,,,,,12637142.86,10658333.33,8261666.67,7726666.67,7800833.33,10912500,,,,,,,
Advance Ret Plan Int Shares Multi Blend,,,,,105000,1250000,4305000,6549166.67,9492500,10504166.67,10731666.67,11897500,12792500,14550000,,,,,,,
Advance Ret Plan Int Shrs Multi Blend NE,,,,,30000,587500,1807500,2997500,3113333.33,2571666.67,2076666.67,1921666.67,1798333.33,1920000,,,,,,,
Advance Ret Plan Managed Growth A,97802500,158849166.7,156896666.7,140008333.3,109106666.7,94108333.33,84603636.36,73555000,60503333.33,48739090.91,39433333.33,38623333.33,38101666.67,33150000,,,,,,,
Advance Ret Plan Moderate Multi-Blend,,,,,,,,,,,,,82500,1542500,,,,,,,
Advance Super & RO - Property Secs NEF,,,,,10000,661666.67,1132500,979090.91,,,,,,,,,,,,,
Advance Super & RO - Property Securities,,,,,40000,634166.67,1215833.33,1091818.18,,,,,,,,,,,,,
Advance Super Plus - Bank Deposit Portf,875000,2823333.33,5544545.45,10232727.27,15270833.33,18669166.67,22736666.67,26356666.67,27799166.67,29035454.55,31696666.67,34710833.33,36568333.33,18380000,,,,,,,
Advance Super Plus - Managed Portfolio,960000,3059166.67,5391666.67,9215000,13090833.33,15090833.33,16915000,18611666.67,18028333.33,17039090.91,15582500,16501666.67,17420833.33,9450000,,,,,,,
AFT Dual Choice ADF - Performance Fund,,,,,,,,,,,,,,,,,,,,,
AFT Dual Choice ADF - Security Fund,,,,,,,,,,,,,,,,,,,,,
AGEST Super-Australian Shares Fund,,,,,,,,,,,,,,,144485714.3,115491666.7,178900000,250850000,239641614.4,198176497.8,
AGEST Super-Balanced Fund,,,,,,,,,,,,,,,1898971429,1780691667,1669650000,1934291667,2097949091,2120971564,
AGEST Super-Cash Fund,,,,,,,,,100000,1900000,13200000,28900000,37500000,43500000,77900000,252633333.3,465475000,373266666.7,437253766.1,510711810.7,
AGEST Super-Conservative Fund,,,,,,,,,,,,,,,11714285.71,25316666.67,28562500,34708333.33,46204220.5,74158125.83,
AGEST Super-Fixed Interest Fund,,,,,,,,,,,,,,,15585714.29,38233333.33,53550000,133191666.7,190771440.3,401826729.6,
AGEST Super-Growth Fund,,,,,,,,,,,,,,,72485714.29,71958333.33,89500000,128750000,139475000,133367567.5,
AGEST Super-Intl Shares (Hedged) Fund,,,,,,,,,,,,,,,17142857.14,11625000,12525000,18700000,27017999.92,21977132.33,
AGEST Super-Intl Shares (Unhedged) Fund,,,,,,,,,,,,,,,10057142.86,8225000,7312500,9108333.33,12643397.83,13590371.08,
AGEST Super-Listed Property Fund,,,,,,,,,,,,,,,45714285.71,21216666.67,20062500,49250000,65001097.92,54704160.33,
AGEST Super-Moderate Fund,,,,,,,,,,,,,,,11728571.43,10383333.33,18325000,29108333.33,32867346.5,30707010.25,
AGEST Super-MultiStrategy Fund,,,,,,,,,,,,,,,5214285.71,23116666.67,17237500,18500000,23085868.67,36731278.58,
AGEST Super-Stable Fund,,,,,,,,,,,,,,,16957142.86,20591666.67,22275000,30316666.67,40257279.92,48664611.5,
AIMS Rollover - Aust Fixed Interest Fund,195714.29,258333.33,,,,,,,,,,,,,,,,,,,
AIMS Rollover - Australian Shares Fund,160000,335000,,,,,,,,,,,,,,,,,,,
AIMS Rollover - Capital Stable Fund,1336250,3568333.33,,,,,,,,,,,,,,,,,,,
AIMS Rollover - Cash Management Fund,437500,546666.67,,,,,,,,,,,,,,,,,,,
AIMS Rollover - General Performance Fund,580000,1676666.67,,,,,,,,,,,,,,,,,,,
AIMS Rollover - International Shares,51000,140000,,,,,,,,,,,,,,,,,,,
AIMS Rollover - Listed Prop Securities,52000,140000,,,,,,,,,,,,,,,,,,,
AJ - Balanced Super Trust,16188333.33,30619166.67,50106666.67,66280833.33,35648000,4238000,,,,,,,,,,,,,,,
AJ - Property ADF,18830909.09,17758333.33,17727500,15773333.33,14217777.78,13242500,,,,,,,,,,,,,,,
AJ - Super Capital Stable Trust,,,,,,,,,,,,,,,,,,,,,
AJ Deferred Annuity - Security Fund,,,,,,,,,,,,,,,,,,,,,
AJ Guaranteed Share Investment - Rollove,1400000,1400000,,,,,,,,,,,,,,,,,,,
AJ Personal Super - Balanced Fund,1841000,2596666.67,3178333.33,3766666.67,4080000,,,,,,,,,,,,,,,,
AJ Personal Super - Capital Gtd NEF,454000,483333.33,559090.91,395833.33,503333.33,,,,,,,,,,,,,,,,
AJ Personal Super - Capital Guaranteed,13352000,14167777.78,13998333.33,14038333.33,13363333.33,,,,,,,,,,,,,,,,
AJ Personal Super - Sharemarket Fund,1118000,1385833.33,1726666.67,1860833.33,2060000,,,,,,,,,,,,,,,,
AJ Rollover - Balanced,2703000,5022500,5241666.67,5918333.33,6223333.33,,,,,,,,,,,,,,,,
AJ Rollover - Capital Gtd NEF,2562000,3127777.78,2908181.82,2197500,2560000,,,,,,,,,,,,,,,,
AJ Rollover - Capital Guaranteed,10513000,10381111.11,10930000,11200000,10400000,,,,,,,,,,,,,,,,
AJ Rollover - Sharemarket Fund,627000,1303333.33,1335833.33,2093333.33,2460000,,,,,,,,,,,,,,,,
AJ Trustees Super Bond - Balanced,679000,855000,753333.33,596666.67,246666.67,,,,,,,,,,,,,,,,
AJ Trustees Super Bond - Capital Gt'eed,3583636.36,9639090.91,1078333.33,960000,913333.33,,,,,,,,,,,,,,,,
AJ Trustees Super Bond - Sharemarket,322000,382500,394166.67,380833.33,73333.33,,,,,,,,,,,,,,,,
AM ADF - Australian Equities Fund,,286000,1153333.33,849166.67,626666.67,,,,,,,,,,,,,,,,
AM ADF - Australian Fixed Interest Fund,,50000,68333.33,47500,20000,,,,,,,,,,,,,,,,
AM ADF - Australian Liquids Fund,2916666.67,6555000,5025000,3523333.33,2023333.33,,,,,,,,,,,,,,,,
AM ADF - Balanced Growth Fund,3573333.33,15170833.33,20504166.67,18256666.67,10903333.33,,,,,,,,,,,,,,,,
AM ADF - Capital Safe Fund,,974000,1013333.33,914166.67,590000,,,,,,,,,,,,,,,,
AM ADF - Capital Stable Fund,7982222.22,15935833.33,12146666.67,10655000,6290000,,,,,,,,,,,,,,,,
AM Trustees Pooled Super - Traded Polici,,,,210000,2880833.33,32321666.67,48130000,47610000,,,,,,,,,,,,,
AM Trustees PoolSup - Aust Fix Int TE,,,20000,20000,140000,168333.33,247500,232500,236666.67,,,34000,0,,,,,,,,
AM Trustees PoolSup - Aust Fixed Int,,40000,40000,60000,310833.33,378333.33,440000,315000,296666.67,,,190000,170000,,,,,,,,
AM Trustees PoolSup - Int'l T Pol Hdg,,,,,,,4010000,6177500,3883333.33,,,,,,,,,,,,
AM Trustees PoolSup - Intl T Pol Hdg TE,,,,,,,1496000,2029166.67,1166666.67,,,,,,,,,,,,
AM Trustees PoolSup - Int'l T Pol Unh,,,,,,,605555.56,1285000,1416666.67,,,,,,,,,,,,
AM Trustees PoolSup - Intl T Pol Unh TE,,,,,,,135555.56,260833.33,293333.33,,,,,,,,,,,,
AM Trustees PoolSup - T Pol 111,,,,,,1100000,6791666.67,8675833.33,9683333.33,,,,,,,,,,,,
AM Trustees PoolSup - Trade Pol 111 TE,,,,,,460000,4283333.33,4746666.67,3306666.67,,,,,,,,,,,,
AMEV Navigator Per Sup-Sharemarket,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Persnal Sup-Cash,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Persnal Sup-Managed,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Persnal Sup-Property,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator RODA Bond-Cash,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator RODA Bond-Managed,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator RODA Bond-Property,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator RODA Bond-Sharemarket,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Super Bnd-Cash,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Super Bnd-Managed,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Super Bnd-Property,,,,,,,,,,,,,,,,,,,,,
AMEV Navigator Super Bond-Sharemarket,,,,,,,,,,,,,,,,,,,,,
AMP - Corporate Super - Cash Share,991666.67,900000,614285.71,,326666.67,332000,349166.67,340000,328333.33,325833.33,205000,131666.67,190909.09,254545.45,295252.67,308368.67,314835.08,322854.08,327345.92,306043.08,294854.67
AMP - Corporate Super - Fixed Interest,616666.67,533333.33,300000,,343333.33,263000,222500,195000,158333.33,138333.33,137500,134166.67,140000,140909.09,83262.17,40296.83,38245.67,23488.83,9164.33,31552.83,10033.08
AMP - Corporate Super - Guaranteed Plus,23390000,15833333.33,12242857.14,,11140000,10157000,8596666.67,6995000,5827500,5257500,5000833.33,4387500,4017272.73,3629090.91,3361443.42,2799491.33,2380098.92,2085183.08,1949885.25,1875584.08,1857421.92
AMP - Corporate Super - International,1008333.33,1041666.67,885714.29,,220000,250000,270000,296666.67,262500,192500,140833.33,149166.67,157272.73,173636.36,176597.5,118528,77610.83,76820.58,72592.67,72400.75,64546.58
AMP - Corporate Super - Managed,10683333.33,10100000,8928571.43,,9400000,9198000,9199166.67,8673333.33,7655833.33,6448333.33,5473333.33,4985000,4792727.27,5024545.45,5027100.83,4087525.17,3444098.42,3160681.17,2930456.17,2807207.25,3010694.83
AMP - Corporate Super - Property,1333333.33,1041666.67,914285.71,,623333.33,601000,585833.33,519166.67,425000,336666.67,303333.33,295833.33,293636.36,296363.64,313831.42,233174.08,177880.75,177270.17,180250.67,199762.83,173564.92
AMP - Corporate Super - Secure Growth,2033333.33,1408333.33,1200000,,800000,735000,713333.33,674166.67,645000,585833.33,496666.67,459166.67,374545.45,397272.73,434979.83,397342.58,319918.83,325427.58,329982.67,303112.92,328569.25
AMP - Corporate Super - Shares,1258333.33,1433333.33,1128571.43,,1036666.67,1006000,1052500,1096666.67,1103333.33,902500,785000,838333.33,948181.82,1097272.73,1320208.42,1071384.5,839850.42,673383.58,610501.42,588257.75,659008.08
AMP - FG - Cash Share,,,,2525000,2341818.18,2390000,1996666.67,1750000,1666666.67,1326666.67,1157500,1064166.67,967272.73,986363.64,990956.83,916162.83,897982.33,775124.92,750809.92,800700.92,738856.83
AMP - FG - Cash Share (Mature),,,,,,,,2424444.44,2032500,1626363.64,1528333.33,1043333.33,857272.73,748181.82,719474.25,794415.42,977540.25,842383.92,917959.5,1021158.42,841917.17
AMP - FG - Managed,,,,7888333.33,9269090.91,9442000,9184166.67,8876666.67,7900000,6537500,5270833.33,5111666.67,5232727.27,5500000,5523433.92,4392463.92,3710340.08,3873920,3684788.33,3564451.17,3893593.42
AMP - FG - Managed (Mature),,,,,,,,108300000,99747500,79697272.73,65348333.33,64282500,65383636.36,67891818.18,67553595.17,54948107.17,47753191.33,48879053.5,45821031.58,43526103.42,45834103.83
AMP - FG - Managed NEF,98034166.67,139723333.3,146286666.7,131830000,156376666.7,151363333.3,137927500,116959166.7,6687500,3552500,2797500,2292500,1875454.55,1301818.18,1114608.25,723231.58,556267.92,466989,231803.08,217983.92,200008.5
AMP - FG - Matched,,,,1301666.67,1772727.27,1854000,1730833.33,1547500,1300833.33,1070833.33,810000,749166.67,724545.45,745454.55,787515.67,700335.75,573947.75,591681.92,584285.92,592641.83,608447.42
AMP - FG - Matched (Mature),,,,,,,,48898888.89,42671666.67,34008181.82,28162500,26675833.33,26442727.27,27098181.82,26142598.83,20853457,18197744.25,18045214.25,17176884.67,16549100.83,16700353.83
AMP - FG - Matched NEF,83330000,108098333.3,97619166.67,77262500,79576666.67,73056666.67,62797500,50713333.33,1850000,1115000,1004166.67,890000,673636.36,654545.45,410717.42,265010,175286.42,85189,77354.67,98037.83,137058.92
AMP - FG - Multi-Manager Bal (Mature),,,,,,,,34224444.44,32158333.33,24212727.27,19422500,18998333.33,19194545.45,19325454.55,18926546.17,14288072,11478373.42,11633719.42,10953697.25,9855719.58,10308981.08
AMP - FG - Multi-Manager Balanced,,,,3968333.33,4473636.36,4591000,3906666.67,3525833.33,2931666.67,2302500,1762500,1516666.67,1594545.45,1646363.64,1645128.33,1354625.83,1194756.08,1297538.67,1280615.92,1310305.75,1457986.75
AMP - FG - Multi-Manager Balanced NEF,,,,50395000,52404545.45,30958888.89,33076363.64,39385833.33,2408333.33,960833.33,660000,499166.67,372727.27,293636.36,217314.75,97150.67,45219.42,35264.17,43127.08,97763.08,81869.33
AMP - FG - Multi-Manager Secure,,,,936666.67,819090.91,854000,845833.33,540833.33,408333.33,289166.67,238333.33,184166.67,128181.82,105454.55,80089.67,66747.75,61869.92,67182,59135,60316.58,58741.25
AMP - FG - Multi-Manager Secure (Mature),,,,,,,,7965555.56,6817500,5254545.45,4296666.67,3813333.33,3440909.09,3100000,2888287.75,2573886.92,2279474.5,2316361.58,2139922.92,1985975.17,1903740.33
AMP - FG - Multi-Manager Secure NEF,,,,21485000,18408181.82,8391111.11,9380909.09,9539166.67,542500,127500,84166.67,60000,50000,30000,28975,14522.33,8243.83,7961.83,5257.25,229.58,232.42
AMP - FG - Property Biased,,,,906666.67,1010909.09,910000,844166.67,720833.33,601666.67,495000,351666.67,319166.67,319090.91,341818.18,323044,287001,237166.42,228126.83,186871.17,210403.08,200823.83
AMP - FG - Property Biased (Mature),,,,,,,,9117777.78,8247500,6803636.36,5486666.67,5170000,5194545.45,5374545.45,5351269,4396715,3601058.75,3529224.17,3360989.75,3227617.17,3298847
AMP - FG - Property Biased NEF,6958333.33,10792500,15460833.33,14995000,11425454.55,6668888.89,7879090.91,9768333.33,357500,190000,124166.67,76666.67,65454.55,31818.18,41504.17,35057.67,25888.42,35370.83,29242.83,28323.75,20188.08
AMP - FG - Secure,,,,2106666.67,2329090.91,2232000,2204166.67,1903333.33,1516666.67,1224166.67,1077500,1050000,990909.09,1003636.36,919901.42,793013.75,734599.75,771228.83,761296.5,680059.67,605729.67
AMP - FG - Secure (Mature),,,,,,,,52613333.33,45351666.67,35428181.82,28509166.67,25965833.33,24680000,23347272.73,21783928.25,18144412.92,16274637.25,15899314.08,14952045.92,14137487.33,14057904.33
AMP - FG - Secure NEF,101746666.7,140234166.7,125795000,102027500,57231818.18,22183333.33,44296363.64,55379166.67,2049166.67,1084166.67,685833.33,570833.33,530909.09,491818.18,365919.08,273856.83,273284.08,228549.67,202658.92,189315.17,157597.9
AMP - Personal Super Bond - Managed,22325000,21333333.33,19575000,19647500,19930909.09,19996000,19876666.67,19005454.55,17129166.67,14580000,12419166.67,12036666.67,11744545.45,11594545.45,10966890.25,8602712,7052299.92,7313400.25,7042068.25,6553492.25,6318467.25
AMP - RB - Australian Equities,,,,,,,872857.14,1445833.33,1593333.33,1567500,1453333.33,1652500,1752727.27,1889090.91,2229302.08,1748436.58,1463585.75,1686666.83,1469969.33,1396062.67,1508609.75
AMP - RB - Australian Equities (Mature),,,,,,,,,,0,2943000,4780833.33,5870000,7035454.55,8033838.25,6394407.08,5487687.08,6273534.67,5654384.5,5105088.17,5471910.33
AMP - RB - Australian Equities NEF,,,,,,,3777142.86,6460833.33,7196666.67,5825833.33,3295833.33,1949166.67,2073636.36,2084545.45,1858205.08,1163588.5,1011662.92,1195479.25,957034.17,883073.83,790344.67
AMP - RB - Australian Fixed Interest,,,,,,,134285.71,108333.33,67500,54166.67,105000,85833.33,60000,51818.18,42434.75,77327,265097,274688.33,287028.58,318517.17,316169.17
AMP - RB - Australian Fixed Interest (M),,,,,,,,,,305000,813333.33,893333.33,843636.36,775454.55,709272.17,854533.25,1516489.92,1498773.25,1482311.08,1331065.17,1099657.17
AMP - RB - Australian Fixed Interest NEF,,,,,,,1831428.57,1819166.67,1628333.33,1143333.33,538333.33,150000,121818.18,109090.91,81387.08,106049.58,216101,180736.08,179922.33,190995.58,149772.67
AMP - RB - Cash Share,323333.33,394166.67,544166.67,643333.33,1085454.55,2831000,4265833.33,1669166.67,1310833.33,1317500,1431818.18,1315833.33,986363.64,654545.45,630280.08,751600.75,1138267.58,934218.67,871191.25,947166.33,882279.67
AMP - RB - Cash Share (Mature),,,,,,,,1351111.11,1536666.67,2312727.27,3885833.33,3778333.33,3291818.18,2818181.82,2164089.5,1987903.83,2313883.25,2220758.36,2270990.83,2401546.08,2175809.92
AMP - RB - Cash Share NEF,,,,5191666.67,5826363.64,6857777.78,9241818.18,6480000,3605833.33,2707500,1565833.33,1068333.33,1001818.18,881818.18,690283.75,560956.42,618342,544590,515160.5,547295.92,549932.75
AMP - RB - Listed Property Sec (Mature),,,,,,,,10000,0,430000,1141666.67,1610000,1674545.45,1913636.36,2220386.33,1283045.75,615936.25,632609.45,591164.17,521939.08,505247.42
AMP - RB - Listed Property Secs NEF,,,,,,,540000,641666.67,677500,957500,802500,437500,425454.55,425454.55,587651.75,333714,130833.58,127284.75,77478.42,51898.09,26894.33
AMP - RB - Listed Property Securities,,,,,,,108571.43,88333.33,82500,149166.67,140833.33,159166.67,158181.82,180909.09,248846.42,136298.83,71013.36,55421.75,57120.45,68566.75,66444.33
AMP - RB - Managed,1720000,3615000,5457500,8413333.33,12389090.91,18587000,24016666.67,27720000,26162500,21888333.33,18749166.67,18270833.33,19091818.18,20544545.45,21495556.08,17806979.92,15469913.08,16131741.17,15060113,14016730.92,14771607.75
AMP - RB - Managed (Mature),,,,,,,,31556666.67,37891666.67,46388181.82,54420000,62760833.33,64807272.73,68050909.09,70044039.83,58912047,51084578.17,52407130.17,49607225.83,47215685.5,49259931.33
AMP - RB - Managed NEF,,,,35198333.33,42422727.27,57047777.78,86547272.73,97485000,69055833.33,43586666.67,22875833.33,15357500,15265454.55,14712727.27,14168617.67,10709134.83,8502621.42,8104464.83,7310260.33,6521574.25,6365609.75
AMP - RB - Matched,1188333.33,1959166.67,2490833.33,3503333.33,4990909.09,6222000,7934166.67,8210833.33,7642500,6718333.33,5892727.27,5664166.67,5741818.18,5553636.36,5436942.67,4539175.67,3722374.33,3850544.5,3286745.92,3170314.58,3222524
AMP - RB - Matched (Mature),,,,,,,,11967777.78,14128333.33,17556363.64,21417500,24077500,24420909.09,25060909.09,24571755.5,20620769.83,17754331.5,17467790.25,16625243.25,15239772.42,15000832.42
AMP - RB - Matched NEF,,,,17900000,20410000,25278888.89,37466363.64,37932500,26244166.67,16343333.33,8058333.33,4985000,4661818.18,4598181.82,4358536.25,3676175.42,3115200.92,3105235.08,2508543.17,2092432.92,1910381.08
AMP - RB - Multi-Manager Bal (Mature),,,,,,,,17973333.33,26067500,43575454.55,63589166.67,78400833.33,83074545.45,87880909.09,90506918.5,75214320.58,70809929.5,74442730.42,70546363.42,66429761.92,71285679.33
AMP - RB - Multi-Manager Balanced,,,,5503333.33,8272727.27,15979000,24615833.33,30582500,30285000,26125000,22756363.64,24065833.33,25120000,25751818.18,27034662,22322348.58,20396154.75,21072372.42,19871131.67,18954278,20483661.25
AMP - RB - Multi-Manager Balanced NEF,,,,22056666.67,33245454.55,63867777.78,107775454.6,128372500,103830833.3,66910833.33,33030000,20517500,19872727.27,19715454.55,18819301.25,13515291,12237589.5,12155834.25,10876193.5,9726644,9562255.25
AMP - RB - Multi-Manager Growth,,,,,,,,,,,,10000,25454.55,97272.73,250923.17,423476.25,423145.83,520870.83,366897.92,371420.08,426311.83
AMP - RB - Multi-Manager High Growth,,,,,,,,,,,,0,25555.56,52727.27,116241.67,77678.67,67880.83,78159.25,107298.42,108447.92,128539.08
AMP - RB - Multi-Manager Intl Equities,,,,,,,,,,,,18750,20000,28181.82,28191.75,15451.92,11015.67,11007.33,11197.8,7641.56,9050.58
AMP - RB - Multi-Manager Secure,,,,1188333.33,1350000,2977000,6555833.33,6724166.67,5277500,4291666.67,3804545.45,3611666.67,3547272.73,3320000,3040223.83,2551865.92,2082212.25,2097997.17,2153913.75,2242582.58,2292450.42
AMP - RB - Multi-Manager Secure (Mature),,,,,,,,4040000,4975000,8635454.55,15107500,16405000,15689090.91,14600000,13397967.75,10946408.67,9233745.58,9385091.33,8748148.08,8571974.25,8608474.42
AMP - RB - Multi-Manager Secure NEF,,,,9603333.33,11948181.82,19836666.67,36626363.64,34860833.33,24501666.67,15738333.33,6328333.33,3267500,2712727.27,2366363.64,2095188.42,1576522.33,1333415.42,1367457.83,1187544.58,1203020.42,988134.92
AMP - RB - Prop Biased NEF,,,,6386000,7311818.18,9778888.89,13968181.82,14667500,10057500,6606666.67,3173333.33,1895833.33,1698181.82,1460000,1230480.67,945386.42,666577.25,582230.92,494810.92,438632.83,310569.67
AMP - RB - Property Biased,175833.33,320833.33,566666.67,884166.67,1165454.55,1745000,1945000,2009166.67,1721666.67,1435833.33,1305454.55,1311666.67,1254545.45,1218181.82,1251946.42,988043.67,785106.75,793942.17,783005.92,762782.75,687123.17
AMP - RB - Property Biased (Mature),,,,,,,,3892222.22,4616666.67,6198181.82,8380000,9452500,9365454.55,9464545.45,9306958.58,7596536.75,6080987.17,5899738.5,5187919.67,4806804.83,4824635.25
AMP - RB - Secure,1114166.67,1821666.67,3086666.67,4888333.33,3676363.64,4979000,6875000,7163333.33,6235833.33,5210833.33,4616363.64,4297500,4100000,4090909.09,4177780.67,3722839.83,3588142.08,3617976.08,3439164.83,3197809.75,3264043.25
AMP - RB - Secure (Mature),,,,,,,,14023333.33,18868333.33,23368181.82,27075000,28489166.67,27774545.45,25983636.36,23867644.58,19931357.25,17813030.17,17583399.08,17461114.58,17255379.67,15568723.08
AMP - RB - Secure NEF,,,,24788333.33,30970000,41758888.89,63370909.09,59417500,37119166.67,20495833.33,8463333.33,4684166.67,4424545.45,3957272.73,3680304.75,3061625.33,2672726.92,2595024.58,2063954.83,1718974.5,1471709.92
AMP - Simple Super Australian Equities,,,,,,,,,,,,,,,,,14523930,13882157.92,11527693.92,9241707.42,9459523.83
AMP - Simple Super Australian Fixed Int,,,,,,,,,,,,,,,,,2234710.75,2345132.83,2390915,2787668.25,2465010.58
AMP - Simple Super Cash,,,,,,,,,,,,,,,,,3692305,3815575.5,4324800.08,3674392.33,3479188.17
AMP - Simple Super Guaranteed Plus,,,,,,,,,,,,,,,,,283007239.8,302080124.5,301601893.6,283978534.8,260306110.5
AMP - Simple Super International Eq,,,,,,,,,,,,,,,,,2646265.5,2654642.58,2426016.75,2076554.92,2224545.75
AMP - Simple Super Managed,,,,,,,,,,,,,,,,,199353059,196832262.8,175023822.2,149569367.9,108364562.9
AMP - Simple Super Multi-Manager Bal,,,,,,,,,,,,,,,,,70813128.5,72138285.92,72239096.75,70955495.83,78394861.33
AMP - Simple Super Multi-Manager Secure,,,,,,,,,,,,,,,,,2459390.5,2431292.33,2219918.08,2605768.58,2641875.33
AMP - Simple Super Property,,,,,,,,,,,,,,,,,1659751,1601979.58,1563052.58,1201076,1054321.08
