"Ind","Gender","age_range","Occ_code","Partner_status","Region","Lodgment_method","PHI_Ind","Sw_amt","Alow_ben_amt","ETP_txbl_amt","Grs_int_amt","Aust_govt_pnsn_allw_amt","Unfranked_Div_amt","Frk_Div_amt","Dividends_franking_cr_amt","Net_rent_amt","Gross_rent_amt","Other_rent_ded_amt","Rent_int_ded_amt","Rent_cap_wks_amt","Net_farm_management_amt","Net_PP_BI_amt","Net_NPP_BI_amt","Total_PP_BI_amt","Total_NPP_BI_amt","Total_PP_BE_amt","Total_NPP_BE_amt","Net_CG_amt","Tot_CY_CG_amt","Net_PT_PP_dsn","Net_PT_NPP_dsn","Taxed_othr_pnsn_amt","Untaxed_othr_pnsn_amt","Other_foreign_inc_amt","Other_inc_amt","Tot_inc_amt","WRE_car_amt","WRE_trvl_amt","WRE_uniform_amt","WRE_self_amt","WRE_other_amt","Div_Ded_amt","Intrst_Ded_amt","Gift_amt","Non_emp_spr_amt","Cost_tax_affairs_amt","Other_Ded_amt","Tot_ded_amt","PP_loss_claimed","NPP_loss_claimed","Rep_frng_ben_amt","Med_Exp_TO_amt","Asbl_forgn_source_incm_amt","Spouse_adjusted_taxable_inc","Net_fincl_invstmt_lss_amt","Rptbl_Empr_spr_cont_amt","Cr_PAYG_ITI_amt","TFN_amts_wheld_gr_intst_amt","TFN_amts_wheld_divs_amt","Hrs_to_prepare_BPI_cnt","Taxable_Income","Help_debt"
21163,"1",4,9,"0",28,"A","1",51443,0,0,7,0,0,1597,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50569,0,0,372,0,1992,0,0,14,0,109,0,3118,0,0,0,0,0,0,0,0,0,0,0,0,46787,0
228358,"1",5,5,"1",9,"S","1",0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1827,0,0,72,0,425,0,0,0,0,0,0,588,0,0,0,0,0,101262,0,0,0,0,0,0,147,0
60919,"0",8,2,"0",23,"A","0",57324,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58332,0,0,161,0,0,0,0,653,0,318,0,1323,0,0,0,0,0,0,0,0,0,0,0,0,56760,0
251661,"1",11,4,"0",9,"S","0",8408,0,0,0,10830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18369,0,0,137,0,110,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,17871,0
218219,"0",7,5,"1",23,"A","1",57796,0,0,2766,0,712,1539,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57929,0,0,213,0,3008,0,0,0,0,0,0,3405,0,0,0,0,0,52324,0,0,0,0,0,0,53933,0
208738,"0",4,2,"0",30,"A","0",47187,0,0,0,0,0,10239,4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48725,0,1723,0,0,327,0,0,0,0,81,0,2989,0,0,0,0,0,0,0,0,0,0,0,0,46056,0
240890,"0",7,8,"1",28,"S","0",18023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18423,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14927,0,0,0,0,0,0,18246,0
160252,"0",8,0,"0",25,"S","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-2193,0,0,0,0,15711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15830,0
79161,"0",3,3,"1",16,"A","0",62283,404,0,3528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62149,0,0,0,0,0,0,0,0,0,334,0,603,0,0,0,0,0,37593,0,0,0,0,0,0,61379,0
135828,"0",10,1,"0",9,"S","0",44030,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,105,0,43480,1529,0,292,0,0,0,0,0,0,0,0,1922,0,0,0,0,95,0,0,0,0,0,0,0,41764,29686
237563,"1",4,4,"1",28,"A","0",29938,921,0,60,0,0,180,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74560,0,1216,0,0,0,0,30577,0
174889,"0",4,8,"0",23,"A","1",18098,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3587,0,4713,0,697,0,0,0,0,0,0,0,5,17474,0,0,130,0,0,0,0,0,0,151,0,288,0,0,0,0,0,0,0,1060,0,0,0,0,15630,0
108948,"1",8,5,"0",14,"A","0",43641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8184,0,0,0,0,0,0,0,0,0,46814,0,0,53,0,0,0,0,0,0,176,0,245,0,0,0,0,0,0,0,0,0,0,0,0,46692,0
46066,"0",6,6,"1",1,"A","0",16082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18734,0,0,206,0,145,0,0,0,0,0,0,328,0,0,0,0,0,45200,0,0,0,0,0,0,18464,0
111834,"0",9,2,"0",23,"A","0",45915,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47098,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,22,0,0,47170,0
215967,"0",8,0,"0",7,"A","0",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12816,0,17901,0,3799,0,0,0,0,0,0,0,0,10177,0,0,0,0,0,0,0,0,0,246,0,241,0,0,0,0,0,0,0,0,0,0,0,0,12365,0
81173,"1",2,0,"0",1,"A","1",0,166,0,0,0,0,1534,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10542,0,0,0,1,14405,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13984,0
75919,"0",3,0,"1",23,"A","1",0,51,0,0,0,0,146,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25909,0,0,15,0,32610,0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32610,0
31633,"1",6,5,"1",23,"A","1",82646,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82751,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96727,0,0,0,0,0,0,79528,0
4962,"1",1,5,"1",1,"S","0",51695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51744,0,0,0,0,0,0,51348,0
107252,"1",5,4,"1",27,"S","1",75991,0,0,132,0,23,0,0,0,0,0,0,0,0,0,22393,0,34817,0,12167,0,0,0,0,0,0,0,1855,76173,290,0,92,0,1874,0,0,0,0,37,10720,18335,0,0,0,0,0,0,0,13630,0,0,0,6,10209,0
132908,"0",10,6,"0",1,"S","1",6708,0,0,801,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15307,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15274,11694
178117,"1",5,0,"0",23,"A","0",0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,16483,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16474,0
68994,"0",8,3,"1",0,"A","1",59967,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58868,3918,0,756,0,624,0,0,0,0,157,0,5607,0,0,0,647,0,21415,0,0,0,0,0,0,52447,16991
6844,"1",2,6,"1",13,"A","1",18717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18190,0,0,0,0,103,0,0,0,0,0,0,115,0,0,0,0,17,59212,0,0,0,0,0,0,18129,0
200418,"0",3,4,"0",23,"A","0",15012,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13325,0,0,315,0,0,0,0,0,0,211,0,461,0,0,25468,0,0,0,0,0,0,0,0,0,12892,0
146049,"0",8,2,"1",2,"A","0",128610,0,0,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128999,138,0,0,0,1721,0,0,0,0,0,0,1733,0,0,0,0,0,20,0,0,0,0,0,0,127089,0
131194,"0",9,6,"1",17,"S","1",96890,165,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99234,4066,0,0,0,1137,0,0,281,0,0,0,5579,0,0,0,0,0,6745,0,0,0,0,0,0,93959,0
203270,"0",5,2,"0",28,"A","1",5663,1129,0,0,0,0,2384,984,-1284,17639,6397,8905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15932,0,0,0,0,0,0,0,0,0,216,0,200,0,0,0,0,0,0,0,10672,0,0,0,0,15746,0
28004,"1",0,0,"1",1,"A","1",0,0,0,1178,0,0,84,36,19718,36351,12749,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,20978,0,0,0,0,0,0,0,0,0,228,0,223,0,0,0,0,0,16880,0,0,1323,0,0,0,20992,0
14603,"1",4,4,"0",1,"A","1",45514,0,0,0,0,0,6635,2800,0,0,0,0,0,0,0,0,0,0,0,0,870,2997,0,519,0,0,0,0,54365,0,0,139,0,2369,0,0,11,0,237,0,2274,0,0,0,0,0,0,0,0,0,0,0,0,52245,0
105498,"1",5,0,"0",10,"A","1",16371,0,0,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3213,0,0,0,0,16752,0,0,0,0,1205,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,601,654,0,0,16917,0
193649,"0",3,0,"0",9,"A","1",0,0,0,16864,0,0,1152,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81456,0,0,0,0,72008,0,0,0,0,0,0,0,0,0,154,0,155,0,0,0,0,0,0,0,0,4012,0,0,0,71700,0
213611,"0",2,6,"1",2,"A","1",61873,0,0,1736,0,0,160,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19388,0,0,0,0,64689,140,0,839,0,1598,0,0,18,0,238,0,3514,0,0,0,0,0,67564,0,0,0,0,0,0,61372,0
112196,"1",8,5,"1",28,"A","1",40859,3524,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119386,0,0,0,0,210613,2892,0,0,0,1958,0,0,64,0,0,0,5068,0,0,0,0,0,45458,0,0,0,0,0,0,206729,17163
107716,"0",6,8,"0",9,"A","0",40167,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5174,47257,454,225,136,0,340,0,0,126,0,93,0,950,0,0,0,0,238,0,0,0,0,0,0,0,46310,0
184600,"1",5,5,"1",1,"A","1",79620,0,0,0,0,82,106,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82112,0,0,0,0,0,0,0,0,0,107,1171,1283,0,0,0,0,0,269074,0,0,0,0,0,0,74937,0
14217,"1",4,0,"1",1,"A","1",98202,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98833,0,510,0,2675,3389,0,0,0,0,0,0,7656,0,0,0,0,0,46400,0,0,0,0,0,0,91717,0
252701,"1",5,1,"0",14,"A","1",0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0
39474,"1",3,8,"0",8,"A","0",56233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7348,0,0,0,55833,0,0,0,0,2974,0,0,14,0,182,0,3798,0,0,0,0,0,0,0,26493,0,0,0,0,52094,0
197349,"1",4,2,"1",14,"A","1",66798,0,0,281,0,0,254,106,-1856,15287,9715,8388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70967,0,0,133,0,183,0,0,0,0,0,334,431,0,0,0,0,0,91257,0,0,0,0,0,0,70246,0
50951,"0",6,5,"0",4,"A","0",39823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39847,0,0,160,0,168,0,0,107,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,39658,0
72415,"0",0,0,"1",1,"A","1",0,0,0,977,0,0,92,36,1421,29698,16270,9499,1169,0,0,0,0,0,0,0,0,0,0,0,0,19871,0,0,37369,0,0,0,0,0,0,0,0,0,403,2962,2966,0,0,0,0,0,26596,0,0,0,0,0,0,34206,0
104404,"1",5,4,"1",23,"S","0",4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,2135,0,0,0,0,0,0,3073,0,0,0,0,0,98054,0,0,0,1,0,0,132,0
165336,"1",8,5,"0",23,"S","0",33706,300,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37760,0,0,272,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,36912,0
20498,"1",6,2,"1",28,"S","0",73258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74347,0,5862,0,0,2616,0,0,55,0,0,0,15473,0,0,39344,523,0,23868,0,0,0,0,0,0,58458,0
55464,"0",5,3,"1",28,"A","1",77134,12873,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10531,0,0,0,0,0,0,88434,6550,188,468,0,1663,0,0,682,0,0,0,10427,0,0,0,536,0,70722,0,0,0,0,0,0,77446,0
221735,"1",10,5,"0",9,"A","0",32766,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38022,1148,0,128,0,712,0,0,0,0,118,251,2467,0,0,0,0,0,0,0,0,0,0,0,0,35906,4302
267,"1",1,0,"1",1,"A","1",0,0,0,54,9844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,15506,0,0,0,0,0,0,11018,0
115067,"0",11,9,"0",14,"A","1",2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,0,0,0,0,5883,0
48533,"0",6,4,"0",28,"A","0",54315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54094,0,0,162,0,152,0,0,0,0,116,0,463,0,0,0,264,0,0,0,141,0,0,0,0,52089,0
45134,"1",6,8,"0",0,"A","0",48879,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47572,0,0,141,0,0,0,0,0,0,198,0,277,0,0,0,0,0,0,0,0,0,0,0,0,47515,0
211590,"0",0,0,"1",22,"A","0",0,0,0,35,7982,154,0,0,3676,6407,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4829,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,9818,0,0,0,0,0,0,6269,0
161156,"0",8,2,"1",23,"A","0",32510,88,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36097,624,0,184,0,313,0,0,0,0,212,0,1033,0,0,0,0,0,0,0,0,0,8,0,0,34631,0
1305,"0",0,0,"1",3,"A","1",0,0,0,2251,0,0,1395,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,32,0,0,0,52,0,0,0,0,0,117790,0,0,0,0,0,0,1769,0
17705,"1",3,0,"1",1,"S","1",16476,0,0,6889,0,671,2686,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,1861,0,0,0,0,0,0,17695,0,0,0,0,698,92,0,38,0,0,0,1029,0,0,0,0,0,27991,0,13245,0,0,0,0,17802,0
63952,"1",7,4,"0",23,"A","1",76395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942,0,0,0,0,0,0,0,6603,77716,0,0,0,0,124,0,0,0,0,0,0,136,0,0,0,0,0,0,0,3921,0,0,0,0,74247,0
90336,"0",3,0,"1",23,"A","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27542,0,0,0,0,26169,0,0,0,0,0,0,0,462,0,389,0,949,0,0,0,0,0,81451,0,0,0,0,0,0,26404,0
95949,"0",4,2,"1",23,"A","1",158956,0,4136,0,0,0,65,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0,0,0,158504,0,0,0,0,2128,0,0,8208,0,0,0,9175,0,0,0,0,0,44556,0,0,0,0,0,0,146136,0
88680,"1",3,2,"1",23,"A","1",59320,0,0,860,0,240,0,0,-9138,27580,9216,20476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48030,0,0,0,0,127,0,0,0,0,149,0,215,0,0,0,0,0,97604,0,0,0,0,0,0,48043,0
199728,"1",5,0,"1",23,"A","1",0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,-1603,0,0,0,0,0,0,-4533,44827,0,0,0,0,17606,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1790,0,112193,0,0,7687,0,0,0,16334,0
128582,"0",6,4,"1",3,"A","1",14658,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5948,0,0,257,0,0,0,0,0,0,229,0,572,0,0,0,0,27,86198,0,0,0,0,0,0,4547,0
110716,"0",9,1,"0",3,"A","1",73332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75525,297,0,0,0,1349,0,0,0,0,645,0,2401,0,0,0,0,0,0,0,0,0,0,0,0,73596,0
145896,"1",8,5,"1",25,"A","1",31727,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30600,0,0,0,0,0,0,0,37,0,107,0,113,0,0,0,0,0,975952,0,0,0,25,0,0,30625,13090
179165,"1",1,0,"0",9,"A","1",0,5390,0,1624,0,0,147,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11929,0,0,0,0,0,0,0,54,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,11694,0
199514,"0",1,0,"1",10,"S","1",0,202,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18452,0,0,0,0,22079,0,0,0,0,0,0,0,546,0,0,0,650,0,0,0,0,0,11353,0,0,0,0,0,0,21072,0
112492,"1",8,6,"0",3,"A","0",6119,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928,0,0,0,38442,51383,0,0,0,0,0,0,0,11,0,277,0,781,0,0,0,0,0,0,0,0,0,0,0,0,50478,0
28019,"1",9,9,"0",27,"A","0",28147,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1203,0,0,0,0,26576,0,0,293,0,0,0,0,0,0,93,0,420,0,0,0,0,0,0,0,0,0,0,0,0,25985,12349
62917,"0",7,0,"0",1,"A","0",0,0,0,5,6748,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,16512,0,0,0,0,15806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15839,0
52955,"1",7,0,"0",25,"A","1",0,0,0,0,0,0,102,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41760,0,0,0,40,42469,0,0,0,0,0,0,0,32,1103,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,41418,0
177235,"0",4,3,"1",15,"S","1",78032,0,0,1,0,0,205,88,0,0,0,0,0,0,0,0,0,6926,0,4723,0,0,0,0,0,0,0,0,76145,0,0,419,0,426,0,0,28,0,0,0,770,0,0,0,721,0,32915,0,37433,0,0,0,0,73964,0
249543,"0",11,8,"0",23,"S","1",5550,0,0,189,8685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14980,0,0,0,0,0,0,0,9,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,14880,0
181542,"0",0,0,"1",9,"A","1",0,0,0,445,7829,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,10135,0
152468,"0",9,2,"1",23,"A","1",166206,47046,0,85,0,0,2176,867,-7925,15748,6215,18038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4273,207738,3891,0,0,0,1730,0,0,0,0,0,0,5525,0,0,0,0,0,0,711,16168,0,0,0,0,207777,0
176890,"1",0,0,"0",28,"A","1",0,114,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18452,0,146980,60,0,78746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,79609,0
15787,"0",4,2,"0",1,"A","1",80676,811,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78620,0,0,0,0,739,0,0,45,0,144,0,961,0,0,0,0,0,0,0,0,0,0,0,0,80119,0
