date,invoiceNr,posid,customerName,customerAdr,customerEmail,productid,qty,subtotal,discount,tax,total,checkouttype,checkoutstatus
Fri Jan 23 13:06:35 AEDT 2015,201501230112220.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 13:06:35 AEDT 2015,201501230112220.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 12:38:51 AEDT 2015,201501230112219.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 12:23:14 AEDT 2015,201501230112218.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 12:23:14 AEDT 2015,201501230112218.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 12:23:14 AEDT 2015,201501230112218.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 12:23:14 AEDT 2015,201501230112218.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 12:23:14 AEDT 2015,201501230112218.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 12:08:39 AEDT 2015,201501230112217.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 12:08:39 AEDT 2015,201501230112217.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 11:52:21 AEDT 2015,201501230112216.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 11:52:21 AEDT 2015,201501230112216.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 11:52:21 AEDT 2015,201501230112216.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 11:38:40 AEDT 2015,201501230112215.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 11:38:15 AEDT 2015,201501230112214.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 11:27:39 AEDT 2015,201501230112213.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 11:27:08 AEDT 2015,201501230112212.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 11:27:08 AEDT 2015,201501230112212.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 11:15:14 AEDT 2015,201501230112211.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:44:55 AEDT 2015,201501230112210.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:40:01 AEDT 2015,201501230112209.00,1.00,,,,bagham,1.00,7.00,0.00,0.00,7.00,CASH,FINISHED
Fri Jan 23 10:40:01 AEDT 2015,201501230112209.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:38:45 AEDT 2015,201501230112208.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:38:25 AEDT 2015,201501230112207.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:37:15 AEDT 2015,201501230112206.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 10:24:59 AEDT 2015,201501230112205.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 10:24:59 AEDT 2015,201501230112205.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 10:24:15 AEDT 2015,201501230112204.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:21:38 AEDT 2015,201501230112203.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 10:21:38 AEDT 2015,201501230112203.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 10:21:38 AEDT 2015,201501230112203.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 10:21:38 AEDT 2015,201501230112203.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 10:21:31 AEDT 2015,201501230112202.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 10:21:31 AEDT 2015,201501230112202.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 10:17:37 AEDT 2015,201501230112201.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 10:16:33 AEDT 2015,201501230112200.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:16:33 AEDT 2015,201501230112200.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:12:06 AEDT 2015,201501230112199.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:11:23 AEDT 2015,201501230112198.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 10:07:05 AEDT 2015,201501230112197.00,1.00,,,,12.00,1.00,14.00,0.00,1.27,14.00,CASH,FINISHED
Fri Jan 23 10:07:05 AEDT 2015,201501230112197.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 10:07:05 AEDT 2015,201501230112197.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:07:05 AEDT 2015,201501230112197.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:07:05 AEDT 2015,201501230112197.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 10:07:05 AEDT 2015,201501230112197.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 10:07:05 AEDT 2015,201501230112197.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 10:01:15 AEDT 2015,201501230112196.00,1.00,,,,12.00,1.00,14.00,0.00,1.27,14.00,CASH,FINISHED
Fri Jan 23 10:01:15 AEDT 2015,201501230112196.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 09:53:46 AEDT 2015,201501230112195.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 09:53:46 AEDT 2015,201501230112195.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 09:53:46 AEDT 2015,201501230112195.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 09:53:46 AEDT 2015,201501230112195.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 09:39:52 AEDT 2015,201501230112194.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 09:39:52 AEDT 2015,201501230112194.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 09:39:52 AEDT 2015,201501230112194.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 09:22:41 AEDT 2015,201501230112193.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 09:22:41 AEDT 2015,201501230112193.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 09:22:38 AEDT 2015,201501230112192.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 09:22:38 AEDT 2015,201501230112192.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 09:14:10 AEDT 2015,201501230112191.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 09:14:10 AEDT 2015,201501230112191.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 09:14:10 AEDT 2015,201501230112191.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 09:07:45 AEDT 2015,201501230112190.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 09:07:07 AEDT 2015,201501230112189.00,1.00,,,,bagham,1.00,7.00,0.00,0.00,7.00,CASH,FINISHED
Fri Jan 23 09:07:07 AEDT 2015,201501230112189.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 09:04:30 AEDT 2015,201501230112188.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 08:56:15 AEDT 2015,201501230112187.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 08:55:28 AEDT 2015,201501230112186.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 08:41:49 AEDT 2015,201501230112185.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 08:41:49 AEDT 2015,201501230112185.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 08:40:15 AEDT 2015,201501230112184.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 08:40:15 AEDT 2015,201501230112184.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 08:37:17 AEDT 2015,201501230112183.00,1.00,,,,1.00,3.00,11.40,0.00,1.04,11.40,CASH,FINISHED
Fri Jan 23 08:31:58 AEDT 2015,201501230112182.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 08:31:58 AEDT 2015,201501230112182.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 08:31:58 AEDT 2015,201501230112182.00,1.00,,,,bagham,1.00,7.00,0.00,0.00,7.00,CASH,FINISHED
Fri Jan 23 08:29:38 AEDT 2015,201501230112181.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 08:23:28 AEDT 2015,201501230112180.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 08:23:28 AEDT 2015,201501230112180.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 08:22:47 AEDT 2015,201501230112179.00,1.00,,,,4.00,1.00,2.50,0.00,0.23,2.50,CASH,FINISHED
Fri Jan 23 08:22:47 AEDT 2015,201501230112179.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 08:14:10 AEDT 2015,201501230112178.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 08:14:10 AEDT 2015,201501230112178.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 08:03:43 AEDT 2015,201501230112177.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 08:03:02 AEDT 2015,201501230112176.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 08:02:28 AEDT 2015,201501230112175.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 08:02:28 AEDT 2015,201501230112175.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 08:01:23 AEDT 2015,201501230112174.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 07:52:27 AEDT 2015,201501230112173.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 07:52:27 AEDT 2015,201501230112173.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 07:51:14 AEDT 2015,201501230112172.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 07:51:14 AEDT 2015,201501230112172.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 07:51:11 AEDT 2015,201501230112171.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 07:28:44 AEDT 2015,201501230112170.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 07:28:44 AEDT 2015,201501230112170.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 07:28:32 AEDT 2015,201501230112169.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 07:23:52 AEDT 2015,201501230112168.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 07:23:52 AEDT 2015,201501230112168.00,1.00,,,,bagham,1.00,7.00,0.00,0.00,7.00,CASH,FINISHED
Fri Jan 23 07:10:12 AEDT 2015,201501230112167.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 07:08:29 AEDT 2015,201501230112166.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 07:08:29 AEDT 2015,201501230112166.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 07:05:40 AEDT 2015,201501230112165.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 07:05:40 AEDT 2015,201501230112165.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 07:05:40 AEDT 2015,201501230112165.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 07:04:45 AEDT 2015,201501230112164.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 15:21:29 AEDT 2015,201501220112163.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 15:21:29 AEDT 2015,201501220112163.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 14:51:35 AEDT 2015,201501220112162.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 14:50:50 AEDT 2015,201501220112161.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 14:50:50 AEDT 2015,201501220112161.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 14:50:31 AEDT 2015,201501220112160.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 14:18:43 AEDT 2015,201501220112159.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 14:18:43 AEDT 2015,201501220112159.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 14:18:43 AEDT 2015,201501220112159.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 14:18:43 AEDT 2015,201501220112159.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 14:18:43 AEDT 2015,201501220112159.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 14:18:43 AEDT 2015,201501220112159.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 13:53:27 AEDT 2015,201501220112158.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 13:53:27 AEDT 2015,201501220112158.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 13:36:48 AEDT 2015,201501220112157.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Thu Jan 22 13:36:48 AEDT 2015,201501220112157.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 13:36:48 AEDT 2015,201501220112157.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 13:36:24 AEDT 2015,201501220112156.00,1.00,,,,bagham,1.00,7.00,0.00,0.00,7.00,CASH,FINISHED
Thu Jan 22 13:36:24 AEDT 2015,201501220112156.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 13:36:24 AEDT 2015,201501220112156.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 13:09:51 AEDT 2015,201501220112155.00,1.00,,,,bagham,1.00,7.00,0.00,0.00,7.00,CASH,FINISHED
Thu Jan 22 12:53:55 AEDT 2015,201501220112154.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 12:53:55 AEDT 2015,201501220112154.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 12:50:38 AEDT 2015,201501220112153.00,1.00,,,,4.00,1.00,2.50,0.00,0.23,2.50,CASH,FINISHED
Thu Jan 22 12:50:38 AEDT 2015,201501220112153.00,1.00,,,,4.00,1.00,2.50,0.00,0.23,2.50,CASH,FINISHED
Thu Jan 22 12:44:46 AEDT 2015,201501220112152.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 12:41:01 AEDT 2015,201501220112151.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 12:41:01 AEDT 2015,201501220112151.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 12:27:07 AEDT 2015,201501220112150.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 12:27:07 AEDT 2015,201501220112150.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 12:06:03 AEDT 2015,201501220112149.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 12:06:03 AEDT 2015,201501220112149.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:59:45 AEDT 2015,201501220112148.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:44:51 AEDT 2015,201501220112147.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:44:51 AEDT 2015,201501220112147.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:44:11 AEDT 2015,201501220112146.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 11:36:19 AEDT 2015,201501220112145.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:36:19 AEDT 2015,201501220112145.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:36:19 AEDT 2015,201501220112145.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 11:36:19 AEDT 2015,201501220112145.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 11:31:47 AEDT 2015,201501220112144.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:30:30 AEDT 2015,201501220112143.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:18:13 AEDT 2015,201501220112142.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 11:18:13 AEDT 2015,201501220112142.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Thu Jan 22 11:18:13 AEDT 2015,201501220112142.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 11:02:43 AEDT 2015,201501220112141.00,1.00,,,,bagham,1.00,7.00,0.00,0.00,7.00,CASH,FINISHED
Thu Jan 22 11:02:43 AEDT 2015,201501220112141.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 10:56:06 AEDT 2015,201501220112140.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 10:55:18 AEDT 2015,201501220112139.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 10:49:33 AEDT 2015,201501220112138.00,1.00,,,,4.00,1.00,2.50,0.00,0.23,2.50,CASH,FINISHED
Thu Jan 22 10:47:21 AEDT 2015,201501220112137.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 10:47:21 AEDT 2015,201501220112137.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 10:39:00 AEDT 2015,201501220112136.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 10:38:32 AEDT 2015,201501220112135.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Thu Jan 22 10:38:25 AEDT 2015,201501220112134.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 10:33:34 AEDT 2015,201501220112133.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 10:30:03 AEDT 2015,201501220112132.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Thu Jan 22 10:30:03 AEDT 2015,201501220112132.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 10:30:03 AEDT 2015,201501220112132.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 10:30:03 AEDT 2015,201501220112132.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 10:25:19 AEDT 2015,201501220112131.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 10:25:19 AEDT 2015,201501220112131.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 10:24:16 AEDT 2015,201501220112130.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 10:13:51 AEDT 2015,201501220112129.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Thu Jan 22 10:12:09 AEDT 2015,201501220112128.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Thu Jan 22 10:11:55 AEDT 2015,201501220112127.00,1.00,,,,bagham,1.00,7.00,0.00,0.00,7.00,CASH,FINISHED
Thu Jan 22 10:11:55 AEDT 2015,201501220112127.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
